t10,t25,accuracy_pct,exit10_pct,exit25_pct,exit50_pct,flops_exit_only_g,flops_cumulative_g,pct_of_dense_cumulative
0.3,0.3,71.26,98.8,1.1,0.1,0.6085,0.6164,57.1
0.3,0.4,71.28,98.8,1.1,0.2,0.6086,0.6172,57.2
0.3,0.5,71.29,98.8,0.9,0.3,0.6088,0.6184,57.3
0.3,0.6,71.28,98.8,0.8,0.4,0.6089,0.6191,57.4
0.3,0.7,71.29,98.8,0.7,0.5,0.6091,0.6202,57.5
0.3,0.8,71.28,98.8,0.6,0.7,0.6092,0.6211,57.5
0.3,0.85,71.29,98.8,0.5,0.7,0.6093,0.6218,57.6
0.3,0.9,71.32,98.8,0.4,0.8,0.6095,0.6227,57.7
0.3,0.95,71.32,98.8,0.3,0.9,0.6096,0.6234,57.8
0.3,0.98,71.3,98.8,0.2,1.0,0.6097,0.6242,57.8
0.4,0.3,72.0,96.0,3.8,0.1,0.6107,0.6355,58.9
0.4,0.4,72.01,96.0,3.5,0.5,0.6112,0.6383,59.1
0.4,0.5,72.08,96.0,3.0,0.9,0.6117,0.6419,59.5
0.4,0.6,72.08,96.0,2.7,1.2,0.6122,0.6448,59.7
0.4,0.7,72.15,96.0,2.3,1.6,0.6127,0.648,60.0
0.4,0.8,72.19,96.0,1.8,2.1,0.6134,0.6521,60.4
0.4,0.85,72.21,96.0,1.5,2.4,0.6137,0.6544,60.6
0.4,0.9,72.24,96.0,1.2,2.7,0.6141,0.6567,60.8
0.4,0.95,72.24,96.0,0.9,3.0,0.6145,0.6593,61.1
0.4,0.98,72.22,96.0,0.6,3.3,0.6149,0.6618,61.3
0.5,0.3,72.97,92.2,7.5,0.4,0.6141,0.6642,61.5
0.5,0.4,73.02,92.2,6.9,1.0,0.6149,0.6692,62.0
0.5,0.5,73.16,92.2,6.0,1.8,0.6161,0.6763,62.7
0.5,0.6,73.19,92.2,5.4,2.4,0.6168,0.6811,63.1
0.5,0.7,73.34,92.2,4.7,3.2,0.6178,0.6872,63.7
0.5,0.8,73.42,92.2,3.8,4.1,0.619,0.6946,64.4
0.5,0.85,73.4,92.2,3.2,4.6,0.6197,0.6991,64.8
0.5,0.9,73.45,92.2,2.7,5.2,0.6204,0.7035,65.2
0.6,0.3,74.36,86.5,13.0,0.5,0.6189,0.7049,65.3
0.5,0.95,73.43,92.2,2.1,5.8,0.6212,0.7083,65.6
0.6,0.4,74.45,86.5,12.1,1.4,0.6201,0.7122,66.0
0.5,0.98,73.34,92.2,1.4,6.4,0.6221,0.7137,66.1
0.6,0.5,74.69,86.5,10.9,2.6,0.6217,0.7222,66.9
0.6,0.6,74.8,86.5,9.7,3.9,0.6233,0.7322,67.8
0.6,0.7,74.99,86.5,8.6,5.0,0.6247,0.7411,68.7
0.7,0.3,75.2,80.6,18.7,0.7,0.6239,0.7467,69.2
0.6,0.8,75.04,86.5,7.1,6.5,0.6267,0.7533,69.8
0.7,0.4,75.32,80.6,17.6,1.9,0.6254,0.7562,70.1
0.6,0.85,75.0,86.5,6.2,7.4,0.6279,0.7609,70.5
0.6,0.9,75.06,86.5,5.2,8.3,0.6291,0.7685,71.2
0.7,0.5,75.67,80.6,15.9,3.5,0.6276,0.7699,71.3
0.6,0.95,74.94,86.5,4.1,9.5,0.6306,0.7779,72.1
0.7,0.6,75.88,80.6,14.2,5.3,0.6298,0.7842,72.6
0.6,0.98,74.85,86.5,3.0,10.6,0.6321,0.7871,72.9
0.8,0.3,76.02,74.4,24.8,0.8,0.6289,0.79,73.2
0.7,0.7,76.11,80.6,12.4,7.0,0.6321,0.7982,74.0
0.8,0.4,76.22,74.4,23.4,2.2,0.6308,0.8017,74.3
0.7,0.8,76.18,80.6,10.4,9.1,0.6348,0.8151,75.5
0.85,0.3,76.4,70.7,28.5,0.8,0.632,0.8161,75.6
0.8,0.5,76.65,74.4,21.2,4.4,0.6336,0.8194,75.9
0.7,0.85,76.16,80.6,9.0,10.4,0.6365,0.826,76.5
0.85,0.4,76.62,70.7,26.9,2.5,0.6341,0.8292,76.8
0.7,0.9,76.29,80.6,7.7,11.7,0.6383,0.837,77.5
0.8,0.6,76.93,74.4,19.0,6.7,0.6366,0.838,77.6
0.85,0.5,77.11,70.7,24.5,4.8,0.6372,0.8488,78.6
0.7,0.95,76.23,80.6,6.0,13.4,0.6404,0.8504,78.8
0.9,0.3,76.66,65.7,33.4,0.9,0.6361,0.8511,78.9
0.8,0.7,77.15,74.4,16.7,8.9,0.6396,0.8567,79.4
0.7,0.98,76.11,80.6,4.3,15.1,0.6427,0.8645,80.1
0.9,0.4,76.88,65.7,31.6,2.7,0.6384,0.8656,80.2
0.85,0.6,77.39,70.7,22.0,7.4,0.6405,0.8696,80.6
0.8,0.8,77.16,74.4,13.9,11.7,0.6432,0.8791,81.4
0.9,0.5,77.43,65.7,29.0,5.4,0.6419,0.8875,82.2
0.85,0.7,77.62,70.7,19.4,9.9,0.6438,0.8903,82.5
0.8,0.85,77.15,74.4,12.3,13.3,0.6453,0.8924,82.7
0.95,0.3,77.04,58.7,40.2,1.1,0.6418,0.8999,83.4
0.8,0.9,77.24,74.4,10.5,15.1,0.6477,0.9073,84.1
0.9,0.6,77.79,65.7,26.0,8.3,0.6458,0.9118,84.5
0.85,0.8,77.67,70.7,16.3,13.1,0.648,0.9162,84.9
0.95,0.4,77.28,58.7,38.2,3.1,0.6444,0.9163,84.9
0.8,0.95,77.17,74.4,8.3,17.3,0.6505,0.9248,85.7
0.85,0.85,77.68,70.7,14.4,14.9,0.6504,0.9315,86.3
0.9,0.7,78.08,65.7,23.1,11.2,0.6495,0.9353,86.7
0.95,0.5,77.86,58.7,35.2,6.0,0.6483,0.9407,87.2
0.8,0.98,76.98,74.4,6.1,19.5,0.6534,0.9434,87.4
0.85,0.9,77.76,70.7,12.3,17.0,0.6531,0.9482,87.8
0.98,0.3,77.19,50.7,48.1,1.2,0.6484,0.9559,88.6
0.9,0.8,78.19,65.7,19.6,14.8,0.6542,0.9646,89.4
0.85,0.95,77.7,70.7,9.8,19.5,0.6564,0.9688,89.7
0.95,0.6,78.33,58.7,31.7,9.6,0.6529,0.9695,89.8
0.98,0.4,77.55,50.7,45.9,3.4,0.6513,0.9742,90.3
0.9,0.85,78.24,65.7,17.4,16.9,0.657,0.9819,91.0
0.85,0.98,77.41,70.7,7.2,22.2,0.6599,0.9907,91.8
0.95,0.7,78.65,58.7,28.3,12.9,0.6574,0.9972,92.4
0.98,0.5,78.08,50.7,42.6,6.7,0.6556,1.0009,92.7
0.9,0.9,78.32,65.7,15.1,19.3,0.6601,1.0013,92.8
0.9,0.95,78.34,65.7,12.0,22.4,0.6641,1.0264,95.1
0.95,0.8,78.82,58.7,24.2,17.1,0.6627,1.0308,95.5
0.98,0.6,78.66,50.7,38.6,10.7,0.6608,1.034,95.8
0.95,0.85,78.87,58.7,21.9,19.4,0.6658,1.0499,97.3
0.9,0.98,78.04,65.7,8.7,25.7,0.6684,1.0534,97.6
0.98,0.7,79.11,50.7,34.6,14.7,0.666,1.0664,98.8
0.95,0.9,78.99,58.7,19.1,22.2,0.6695,1.0732,99.4
0.95,0.95,79.01,58.7,15.4,25.9,0.6743,1.103,102.2
0.98,0.8,79.35,50.7,30.0,19.4,0.6721,1.1047,102.3
0.98,0.85,79.45,50.7,27.1,22.2,0.6759,1.1281,104.5
0.95,0.98,78.7,58.7,11.2,30.1,0.6797,1.1371,105.3
0.98,0.9,79.57,50.7,23.8,25.5,0.6802,1.1551,107.0
0.98,0.95,79.56,50.7,19.5,29.9,0.6859,1.1906,110.3
0.98,0.98,79.23,50.7,14.4,34.9,0.6925,1.2319,114.1
